#{"t_start": 1751666665.1742723, "env_id": "None"}
r,l,t,reason
1.045696,149,37.094923,goal_reached
-1.687906,176,77.988487,collision
-1.845787,275,138.610197,collision
1.23126,203,184.707713,goal_reached
-1.018532,90,208.026087,collision
-2.761935,298,274.458744,collision
-1.215168,76,295.450526,collision
-1.110905,71,315.20365,collision
-1.077858,139,349.094959,collision
1.381173,116,378.146007,goal_reached
1.019364,170,418.610525,goal_reached
-1.518652,187,462.678251,collision
-0.917568,159,500.765095,collision
-1.613955,184,543.95829,collision
-1.064806,157,581.446286,collision
-0.763391,64,599.730744,collision
-1.310212,178,641.887812,collision
0.459641,218,692.154337,goal_reached
-3.269635,220,742.696495,collision
-0.852747,14,750.785279,collision
-1.519055,92,774.893278,collision
-0.854742,4,780.92027,collision
-1.389218,71,800.1408,collision
-0.864313,2,805.661142,collision
-1.230552,52,820.875999,collision
1.317584,164,859.823918,goal_reached
-0.885877,67,878.841288,collision
1.33799,193,924.028367,goal_reached
1.20621,108,951.692556,goal_reached
0.156483,209,1000.124001,goal_reached
-1.65683,157,1037.916461,collision
-0.742418,39,1051.017139,collision
0.077458,321,1122.139369,goal_reached
-2.033141,147,1157.663291,collision
1.429471,191,1202.275856,goal_reached
-0.862781,2,1207.837671,collision
1.055505,141,2297.243905,goal_reached
-0.984705,42,2311.148612,collision
1.089286,227,2363.540823,goal_reached
-0.840869,7,2370.198083,collision
-1.663237,192,2415.04411,collision
-0.856438,3,2420.782178,collision
-0.923216,167,2459.925314,collision
-1.606395,91,2483.824565,collision
-1.037956,45,2498.149968,collision
-0.859588,3,2504.001487,collision
-1.463515,185,2546.848313,collision
-1.815097,69,2566.450337,collision
-0.846887,31,2577.957751,collision
-0.864722,18,2586.86631,collision
-0.976751,56,2603.593348,collision
-0.447315,291,2668.695039,goal_reached
-4.034848,256,2727.224709,collision
-0.78991,19,2736.212236,collision
-1.00702,99,2761.929032,collision
-1.141786,135,2795.054245,collision
-1.696342,125,2826.053527,collision
0.879256,145,2861.184407,goal_reached
-2.31133,159,2899.639751,collision
-1.142104,27,2910.291952,collision
-0.853953,4,2916.419015,collision
-0.964998,44,2930.16884,collision
1.155046,112,2958.674128,goal_reached
0.303389,221,3010.163289,goal_reached
-0.861189,3,3015.948931,collision
-0.951897,66,3034.1515,collision
-1.199392,265,3094.11657,goal_reached
0.672616,158,3132.030496,goal_reached
-0.712055,31,3143.589664,collision
-0.704567,42,3157.506245,collision
-0.890289,28,3168.456381,collision
-0.916777,80,3190.160813,collision
-1.89342,303,3258.203105,collision
-0.965739,9,3265.232246,collision
-1.42531,183,3308.508995,collision
-2.006607,199,3354.939071,collision
-1.076477,28,3365.917731,collision
-0.890257,85,3388.713068,collision
-1.646112,114,3417.524592,collision
-0.612616,141,3452.036159,collision
-0.982365,66,3471.117313,collision
-0.900177,52,3487.166692,collision
-1.184465,108,3514.744853,collision
-1.870712,351,3896.887148,collision
-0.851339,17,3905.448837,collision
-0.763522,24,3915.59627,collision
-1.117518,102,3942.119924,collision
-0.598672,74,3962.575088,collision
-2.246136,284,4026.756851,collision
-0.996516,119,4056.643069,collision
-2.628674,231,4109.694773,collision
-0.961406,188,4153.776067,collision
-1.269656,53,4170.078742,collision
-0.859585,2,4175.606514,collision
-1.621452,217,4224.906747,collision
-1.907456,170,4265.333239,collision
-0.897295,122,4295.673407,collision
-0.71318,136,4328.784184,collision
-1.356795,104,4355.406274,collision
-1.030178,117,4384.694512,collision
-1.682125,174,4425.790842,collision
-0.404587,141,4459.718779,collision
-1.78461,123,4490.238256,collision
-1.100872,109,4517.82846,collision
-1.459082,250,4574.455511,collision
-0.924119,132,4606.976835,collision
-0.793295,56,4623.70043,collision
-0.814601,24,4633.753033,collision
-1.233438,28,4644.855394,collision
-0.785558,74,4665.432492,collision
-2.326047,380,4749.428288,collision
-0.434439,291,4814.531737,goal_reached
